Symptoms,Disease
fever headache cough,Common Cold
mild fever runny nose sore throat,Common Cold
high fever severe headache stiff neck,Meningitis
stiff neck fever vomiting confusion,Meningitis
chest pain shortness of breath sweating,Heart Attack
chest pressure nausea cold sweat,Heart Attack
fatigue weight loss night sweats cough,Tuberculosis
coughing blood chest pain fever,Tuberculosis
abdominal pain diarrhea nausea vomiting,Gastroenteritis
stomach cramps watery diarrhea,Gastroenteritis
frequent urination excessive thirst hunger,Diabetes
blurry vision slow healing wounds fatigue,Diabetes
wheezing shortness of breath chest tightness,Asthma
coughing at night shortness of breath,Asthma 
